origin,destination,scgraph_time_optimized_distance_km,scgraph_time_optimized_time_seconds,scgraph_time_optimized_duration_seconds,osmnx_time_optimized_distance_km,osmnx_time_optimized_time_seconds,osmnx_time_optimized_duration_seconds,scgraph_distance_optimized_distance_km,scgraph_distance_optimized_time_seconds,scgraph_distance_optimized_duration_seconds,osmnx_distance_optimized_distance_km,osmnx_distance_optimized_time_seconds,osmnx_distance_optimized_duration_seconds,google_distance_km,google_time_seconds,google_duration_seconds
Central Square,Davis Square,4.639061956130588,447.4430619561306,0.0005991458892822266,4.604145828427129,447.4041152898421,0.04700183868408203,4.516061956130588,464.17099999999994,0.00047779083251953125,4.482620389117532,464.7847639711237,0.03520011901855469,4.886,1001,0.14230084419250488
Central Square,Porter Square,3.3828519163232142,313.3248519163231,0.001107931137084961,3.340786357445732,313.2838050575003,0.05096316337585449,3.3258519163232125,334.97499999999997,0.0010488033294677734,3.2875090742096975,335.5907264164471,0.03347206115722656,3.412,659,0.10025501251220703
Central Square,Union Square,2.891643863969849,279.4696438639698,0.0006082057952880859,2.8587284999084774,279.4397992582548,0.04099082946777344,2.891643863969849,279.43999999999994,0.0005729198455810547,2.8587284999084774,279.4397992582548,0.030994176864624023,3.51,931,0.12035703659057617
Central Square,Inman Square,0.9816078205669517,92.39860782056695,0.00025391578674316406,0.9498137245755979,92.41138448898438,0.04478907585144043,0.9816078205669517,92.366,0.0002167224884033203,0.9498137245755979,92.41138448898438,0.028371334075927734,0.971,218,0.13161587715148926
Central Square,MIT,1.1028586931802433,103.24985869318024,0.00030303001403808594,1.0372154808875795,103.18471033095344,0.04710793495178223,1.1028586931802433,103.185,0.000244140625,1.0372154808875795,103.18471033095344,0.028383970260620117,1.01,237,1.0241479873657227
Central Square,Tufts University,6.138288999538586,564.2172889995386,0.005051851272583008,5.929085066254972,564.013334011418,0.07821083068847656,6.0632889995385835,614.0359999999998,0.004636287689208984,5.859030633585885,614.6503354043565,0.038230180740356445,6.769,1563,0.12884306907653809
Central Square,Cambridge City Hall,0.20563322268267725,19.151633222682676,0.0001220703125,0.17886535045540866,19.1257640433574,0.04280877113342285,0.20563322268267725,19.125,6.604194641113281e-05,0.17886535045540866,19.1257640433574,0.03287315368652344,0.192,44,0.12102580070495605
Davis Square,Central Square,4.434061956130589,429.46706195613064,0.0013158321380615234,4.397151370443949,429.42786915783773,0.05047106742858887,4.427061956130588,431.427,0.0012540817260742188,4.390466878698145,431.4203190917754,0.07711410522460938,4.718,986,0.11106467247009277
Davis Square,Porter Square,1.1584355398008093,117.19043553980082,0.00021004676818847656,1.120739532845559,117.15158674490016,0.03918194770812988,1.1584355398008093,117.15500000000002,0.00017189979553222656,1.120739532845559,117.15158674490016,0.0281219482421875,1.31,353,0.11243700981140137
Davis Square,Union Square,2.429227487447443,268.3142274874475,0.0005009174346923828,2.4041500259295665,268.28778700871965,0.04335927963256836,2.429227487447443,268.28900000000004,0.0004177093505859375,2.4041500259295665,268.28778700871965,0.031347036361694336,2.437,608,0.09701299667358398
Davis Square,Inman Square,3.517191444044546,341.0411914440446,0.0007112026214599609,3.4877351724232595,341.0534947453191,0.04603219032287598,3.5101914440445454,343.007,0.0007278919219970703,3.4810506806774555,343.04594467925676,0.06348800659179688,3.62,796,0.11995077133178711
Davis Square,MIT,5.427442316657837,518.3314423166578,0.0015778541564941406,5.364332515375637,518.2642155585452,0.053009033203125,5.258442316657837,524.5699999999999,0.0014510154724121094,5.195700332608128,524.5657809522546,0.03780388832092285,5.728,1224,0.12114191055297852
Davis Square,Tufts University,1.7418726230161792,154.50587262301613,0.0004000663757324219,1.541184043480755,154.3073934294337,0.04180598258972168,1.6688726230161794,156.211,0.0003571510314941406,1.4679525986647985,157.12913379193492,0.027994871139526367,1.598,527,0.11693096160888672
Davis Square,Cambridge City Hall,4.263216846160273,424.59221684616006,0.0010311603546142578,4.239691418790585,424.5637635457542,0.05018496513366699,4.255216846160273,425.9039999999999,0.0010542869567871094,4.230937017031628,425.89711271989336,0.035428762435913086,4.526,947,0.10388517379760742
Porter Square,Central Square,3.3958519163232133,315.1948519163233,0.0007817745208740234,3.355058961052796,315.15337289096703,0.046050071716308594,3.3888519163232127,317.14900000000006,0.0007989406585693359,3.348374469306992,317.1458228249047,0.03346824645996094,3.522,772,0.11249589920043945
Porter Square,Davis Square,1.2974355398008093,134.15943553980082,0.00023508071899414062,1.2633594709813956,134.1203102323418,0.040837764739990234,1.2974355398008093,134.124,0.0002009868621826172,1.2633594709813956,134.1203102323418,0.028191089630126953,1.555,384,0.11104202270507812
Porter Square,Union Square,2.2280174476400685,222.56501744764003,0.0004763603210449219,2.1967607504093425,222.53525874442454,0.041733741760253906,2.2280174476400685,222.53399999999996,0.0004467964172363281,2.1967607504093425,222.53525874442454,0.02934408187866211,2.187,600,0.11421012878417969
Porter Square,Inman Square,2.478981404237171,226.76898140423717,0.0005469322204589844,2.4456427630321063,226.7789984784484,0.043580055236816406,2.4719814042371704,228.72899999999998,0.0006060600280761719,2.4389582712863027,228.77144841238606,0.030836105346679688,2.448,525,0.10024499893188477
Porter Square,MIT,4.389232276850463,404.05923227685037,0.0010590553283691406,4.322240105984486,403.98971929167453,0.045855045318603516,4.220232276850463,410.292,0.0010149478912353516,4.153607923216975,410.2912846853839,0.03502011299133301,4.533,1009,0.10536479949951172
Porter Square,Tufts University,2.831662583208805,280.5456625832088,0.0006420612335205078,2.6236284208158325,280.3370485717207,0.03960609436035156,2.8166625832088052,283.671,0.0005769729614257812,2.610803275816143,283.66773492762957,0.028827905654907227,3.438,947,0.10929107666015625
Porter Square,Cambridge City Hall,3.2250068063528974,310.32000680635275,0.0007328987121582031,3.1975990093994313,310.28926727888353,0.04447174072265625,3.217006806352897,311.6259999999999,0.0007491111755371094,3.1888446076404753,311.62261645302266,0.03273439407348633,3.33,732,0.13783597946166992
Union Square,Central Square,3.0016438639698477,297.92064386397,0.0010476112365722656,2.9692755913969013,297.8912634729502,0.05154299736022949,3.0016438639698477,297.89100000000013,0.0009961128234863281,2.9692755913969013,297.8912634729502,0.03283095359802246,3.578,821,0.10618710517883301
Union Square,Davis Square,2.238227487447443,246.83322748744743,0.0005071163177490234,2.212101536851676,246.80772186771762,0.04218578338623047,2.238227487447443,246.808,0.0004150867462158203,2.212101536851676,246.80772186771762,0.02926492691040039,2.212,433,0.10537600517272949
Union Square,Porter Square,2.2670174476400677,227.86801744764014,0.0004458427429199219,2.2343616500850483,227.83677710228858,0.04031801223754883,2.1290174476400687,233.74000000000007,0.0003631114959716797,2.0952556713891513,233.73885153375804,0.030664920806884766,2.212,547,0.10501718521118164
Union Square,Inman Square,2.229773351883806,225.6767733518838,0.0004520416259765625,2.204045153411552,225.69908245116207,0.04714703559875488,2.223773351883805,235.98200000000006,0.00042700767517089844,2.1994361096909962,236.02775497199525,0.05562019348144531,2.842,658,0.09948587417602539
Union Square,MIT,4.045024224497096,371.669024224497,0.0008969306945800781,3.993323747273032,371.61203375478044,0.044335126876831055,3.7150242244970975,388.089,0.0008871555328369141,3.658032430555137,388.09184395344164,0.03266000747680664,4.104,976,0.10910177230834961
