module,function,unit,iterations,avg,min,max,std,combination,category,solver,distance_km
data_prep,build_osmnx_graph,ms,1,734611.1863340484,734611.1863340484,734611.1863340484,0,LA_SD,data_prep,osmnx_build,
data_prep,make_scgraph_from_osmnx,ms,1,738.214583019726,738.214583019726,738.214583019726,0,LA_SD,data_prep,scgraph_from_osmnx_convert,
benchmarks.utils.solvers,solve_nx_on_osmnx,ms,10,118.13206672668457,113.99507522583008,153.68390083312988,11.851476563168069,LA_SD,network_solve,osmnx_nx,193.44568599415334
benchmarks.utils.solvers,solve_scgraph_on_osmnx,ms,10,1.501297950744629,1.4388561248779297,1.9249916076660156,0.14226344715458963,LA_SD,network_solve,osmnx_scgraph,193.56199936496466
benchmarks.utils.solvers,test_world_highways_scgraph,ms,10,0.8352041244506836,0.7359981536865234,1.6510486602783203,0.2720641918100131,LA_SD,network_solve,world_highways_scgraph,194.0604240731702
benchmarks.utils.solvers,test_us_freeway_scgraph,ms,10,0.0347137451171875,0.027894973754882812,0.07200241088867188,0.012799414318382038,LA_SD,network_solve,us_freeway_scgraph,197.26651783062215
benchmarks.utils.solvers,test_google,ms,10,122.8090763092041,83.13393592834473,308.9909553527832,63.24527832703562,LA_SD,network_solve,google,193.626
data_prep,build_osmnx_graph,ms,1,266126.8170409603,266126.8170409603,266126.8170409603,0,ORL_TAM,data_prep,osmnx_build,
data_prep,make_scgraph_from_osmnx,ms,1,416.50108399335295,416.50108399335295,416.50108399335295,0,ORL_TAM,data_prep,scgraph_from_osmnx_convert,
benchmarks.utils.solvers,solve_nx_on_osmnx,ms,10,70.89812755584717,63.500165939331055,131.18410110473633,20.114679539853,ORL_TAM,network_solve,osmnx_nx,140.5263117347979
benchmarks.utils.solvers,solve_scgraph_on_osmnx,ms,10,0.7093191146850586,0.6809234619140625,0.8981227874755859,0.06342673169013477,ORL_TAM,network_solve,osmnx_scgraph,140.84691017965363
benchmarks.utils.solvers,test_world_highways_scgraph,ms,10,0.45609474182128906,0.4448890686035156,0.5221366882324219,0.022343522785964895,ORL_TAM,network_solve,world_highways_scgraph,134.62211839208007
benchmarks.utils.solvers,test_us_freeway_scgraph,ms,10,0.02205371856689453,0.018835067749023438,0.03981590270996094,0.005992090246602548,ORL_TAM,network_solve,us_freeway_scgraph,136.8876637853843
benchmarks.utils.solvers,test_google,ms,10,97.3733901977539,83.91976356506348,171.61297798156738,24.970590777999345,ORL_TAM,network_solve,google,135.927
data_prep,build_osmnx_graph,ms,1,515204.9131669337,515204.9131669337,515204.9131669337,0,NYC_PHI,data_prep,osmnx_build,
data_prep,make_scgraph_from_osmnx,ms,1,1187.7881250111386,1187.7881250111386,1187.7881250111386,0,NYC_PHI,data_prep,scgraph_from_osmnx_convert,
benchmarks.utils.solvers,solve_nx_on_osmnx,ms,10,157.46877193450928,145.78008651733398,245.1777458190918,29.388878754179977,NYC_PHI,network_solve,osmnx_nx,147.26180087687803
benchmarks.utils.solvers,solve_scgraph_on_osmnx,ms,10,1.7645835876464844,1.6949176788330078,2.251148223876953,0.1635503073107468,NYC_PHI,network_solve,osmnx_scgraph,147.5510025625734
benchmarks.utils.solvers,test_world_highways_scgraph,ms,10,0.8803129196166992,0.7910728454589844,1.5799999237060547,0.2333652220478311,NYC_PHI,network_solve,world_highways_scgraph,144.1191950453212
benchmarks.utils.solvers,test_us_freeway_scgraph,ms,10,0.03840923309326172,0.030994415283203125,0.08106231689453125,0.014694961567698468,NYC_PHI,network_solve,us_freeway_scgraph,158.32410459753936
benchmarks.utils.solvers,test_google,ms,10,113.4697675704956,93.67203712463379,182.71589279174805,24.751542749343372,NYC_PHI,network_solve,google,152.11
